"Extension Name","Publisher","Verified","Install Count","Source Code"
"Atom One Dark Theme","Mahmoud Ali","False","3731316","https://github.com/akamud/vscode-theme-onedark.git"
"Git Graph","mhutchie","False","3719868","https://github.com/mhutchie/vscode-git-graph.git"
"TSLint","Microsoft","True","3618631","https://github.com/Microsoft/vscode-typescript-tslint-plugin.git"
"CSS Peek","Pranay Prakash","True","3607548","https://github.com/pranaygp/vscode-css-peek"
"PHP Extension Pack","Xdebug","True","3535677","https://github.com/zobo/vscode-php-pack.git"
"Markdown Preview Enhanced","Yiyi Wang","False","3533231","https://github.com/shd101wyy/vscode-markdown-preview-enhanced.git"
"Settings Sync","Shan Khan","False","3515769","https://github.com/shanalikhan/code-settings-sync.git"
"Angular Snippets (Version 13)","John Papa","True","3489310","https://github.com/johnpapa/vscode-angular-snippets.git"
"autoDocstring - Python Docstring Generator","Nils Werner","False","3412795","https://github.com/NilsJPWerner/autoDocstring.git"
"XML","Red Hat","True","3389580","https://github.com/redhat-developer/vscode-xml.git"
"DotENV","mikestead","False","3387427","https://github.com/mikestead/vscode-dotenv.git"
"MagicPython","MagicStack Inc.","False","3376017","https://github.com/MagicStack/MagicPython.git"
"Spanish Language Pack for Visual Studio Code","Microsoft","True","3375622","https://github.com/Microsoft/vscode-loc.git"
"JS-CSS-HTML Formatter","lonefy","False","3343662","https://github.com/lonefy/vscode-js-css-html-formatter"
"Python Indent","Kevin Rose","False","3319996","https://github.com/kbrose/vsc-python-indent.git"
"[DEPRECATED] C# Format Revolve","Przemysław Orłowski","True","3301432","https://github.com/ovsky/vscode-csharpfixformat"
"Remote Development","Microsoft","True","3166714","https://github.com/Microsoft/vscode-remote-release.git"
"React Native Tools","Microsoft","True","3150760","https://github.com/microsoft/vscode-react-native.git"
"TODO Highlight","Wayou Liu","False","2990425","https://github.com/wayou/vscode-todo-highlight.git"
"Ruby","Peng Lv","False","2906335","https://github.com/rubyide/vscode-ruby.git"
"Project Manager","Alessandro Fragnani","False","2880092","https://github.com/alefragnani/vscode-project-manager.git"
"REST Client","Huachao Mao","False","2861998","https://github.com/Huachao/vscode-restclient.git"
"Russian Language Pack for Visual Studio Code","Microsoft","True","2861091","https://github.com/Microsoft/vscode-loc.git"
"PlatformIO IDE","PlatformIO","True","2845473","https://github.com/platformio/platformio-vscode-ide.git"
"Excel Viewer","GrapeCity","True","2813759","https://github.com/jjuback/gc-excelviewer.git"
"GitHub Copilot","GitHub","True","2762248","N/A"
"TSLint (deprecated)","Microsoft","True","2752723","https://github.com/Microsoft/vscode-tslint.git"
"Vue 3 Snippets","hollowtree","False","2688768","https://github.com/hollowtree/vscode-vue-snippets"
"Portuguese (Brazil) Language Pack for Visual Studio Code","Microsoft","True","2668174","https://github.com/Microsoft/vscode-loc.git"
"Auto Import","steoates","False","2637093","N/A"
"Live Share Extension Pack","Microsoft","True","2457349","https://github.com/microsoft/live-share"
"vscode-pdf","tomoki1207","True","2457106","https://github.com/tomoki1207/vscode-pdfviewer.git"
"Vue Language Features (Volar)","Vue","True","2441513","https://github.com/johnsoncodehk/volar.git"
"Bookmarks","Alessandro Fragnani","False","2410976","https://github.com/alefragnani/vscode-bookmarks.git"
"Todo Tree","Gruntfuggly","True","2407394","https://github.com/Gruntfuggly/todo-tree.git"
"Python Environment Manager","Don Jayamanne","False","2391303","https://github.com/DonJayamanne/vscode-python-manager.git"
"Kubernetes","Microsoft","True","2362839","https://github.com/vscode-kubernetes-tools/vscode-kubernetes-tools"
"Debugger for Firefox","Firefox DevTools","False","2360648","https://github.com/firefox-devtools/vscode-firefox-debug.git"
"Bootstrap 4, Font awesome 4, Font Awesome 5 Free & Pro snippets","Ashok Koyi","False","2359510","https://github.com/1tontech/bootstrap4-snippets.git"
"CodeLLDB","Vadim Chugunov","False","2353988","https://github.com/vadimcn/vscode-lldb.git"
"Live Sass Compiler","Ritwick Dey","False","2346041","https://github.com/ritwickdey/vscode-live-sass-compiler.git"
"C/C++ Compile Run","danielpinto8zz6","True","2299078","https://github.com/danielpinto8zz6/c-cpp-compile-run.git"
".NET Install Tool for Extension Authors","Microsoft","True","2291167","https://github.com/dotnet/vscode-dotnet-runtime.git"
"Rainbow CSV","mechatroner","False","2275041","https://github.com/mechatroner/vscode_rainbow_csv.git"
"jshint","Microsoft","True","2272253","https://github.com/Microsoft/vscode-jshint.git"
"HashiCorp Terraform","HashiCorp","True","2215846","https://github.com/hashicorp/vscode-terraform.git"
"Simple React Snippets","Burke Holland","True","2212510","https://github.com/burkeholland/simple-react-snippets.git"
"Laravel Blade Snippets","Winnie Lin","False","2197940","https://github.com/onecentlin/laravel-blade-snippets-vscode.git"
"Angular 10 Snippets - TypeScript, Html, Angular Material, ngRx, RxJS & Flex Layout","Mikael Morlund","False","2173745","https://github.com/BeastCode/VSCode-Angular-TypeScript-Snippets.git"
"SQLTools","Matheus Teixeira","True","2169403","https://github.com/mtxr/vscode-sqltools.git"
"Import Cost","Wix","True","2160584","https://github.com/wix/import-cost.git"
"HTML Preview","Thomas Haakon Townsend","False","2117435","https://github.com/tht13/html-preview-vscode"
"LaTeX Workshop","James Yu","False","2051332","https://github.com/James-Yu/LaTeX-Workshop.git"
"Community Material Theme","Equinusocio","True","2037751","https://github.com/material-theme/vsc-community-material-theme.git"
"Tailwind CSS IntelliSense","Tailwind Labs","True","2028299","https://github.com/tailwindlabs/tailwindcss-intellisense.git"
"GitHub Codespaces","GitHub","True","2027267","N/A"
"Quokka.js","Wallaby.js","True","2018468","N/A"
"gitignore","CodeZombie","False","1987721","https://github.com/CodeZombieCH/vscode-gitignore.git"
"VSCode Ruby","Stafford Brunk","False","1965195","https://github.com/rubyide/vscode-ruby"
"Winter is Coming Theme","John Papa","True","1960648","https://github.com/johnpapa/vscode-winteriscoming.git"
"Material Theme Icons","Equinusocio","True","1939928","https://github.com/material-theme/vsc-material-theme-icons.git"
"Babel JavaScript","Michael McDermott","True","1939901","https://github.com/mgmcdermott/vscode-language-babel.git"
"Spring Initializr Java Support","Microsoft","True","1924614","https://github.com/Microsoft/vscode-spring-initializr.git"
"Peacock","John Papa","True","1918196","https://github.com/johnpapa/vscode-peacock.git"
"Rainbow Brackets","2gua","False","1911774","N/A"
"Korean Language Pack for Visual Studio Code","Microsoft","True","1889135","https://github.com/Microsoft/vscode-loc.git"
"Test Explorer UI","Holger Benl","False","1887696","https://github.com/hbenl/vscode-test-explorer.git"
"HTML Boilerplate","sidthesloth","False","1877055","https://github.com/sidthesloth92/vsc_html5_boilerplate.git"
"French Language Pack for Visual Studio Code","Microsoft","True","1874644","https://github.com/Microsoft/vscode-loc.git"
"Red Hat Commons","Red Hat","True","1858528","https://github.com/redhat-developer/vscode-commons/"
"vue","jcbuisson","False","1815467","https://github.com/LiuJi-Jim/vscode-vue.git"
"Monokai Pro","monokai","True","1797490","N/A"
"Sublime Text Keymap and Settings Importer","Microsoft","True","1796394","https://github.com/Microsoft/vscode-sublime-keybindings.git"
"Spring Boot Tools","Pivotal","False","1770473","https://github.com/spring-projects/sts4.git"
"Rust","The Rust Programming Language ","True","1751953","https://github.com/rust-lang/rls-vscode"
"JavaScript and TypeScript Nightly","Microsoft","True","1739400","https://github.com/microsoft/vscode-typescript-next.git"
"Vue VSCode Snippets","sarah.drasner","False","1698619","https://github.com/sdras/vue-vscode-snippets.git"
"Night Owl","sarah.drasner","False","1689737","https://github.com/sdras/night-owl-vscode-theme"
"PHP IntelliSense","Damjan Cvetko","False","1687731","https://github.com/zobo/vscode-php-intellisense.git"
"C/C++ Runner","franneck94","False","1658383","https://github.com/franneck94/vscode-c-cpp-runner.git"
"Remote Explorer","Microsoft","True","1624225","https://github.com/Microsoft/vscode-remote-release.git"
"Material Theme","Equinusocio","True","1586214","https://github.com/material-theme/vsc-material-theme.git"
"Sass","Syler","False","1584859","https://github.com/TheRealSyler/vscode-sass-indented.git"
"Azure Resources","Microsoft","True","1569476","https://github.com/Microsoft/vscode-azureresourcegroups"
"C# Extensions","jchannon","False","1565772","https://github.com/jchannon/csharpextensions"
"Azure Functions","Microsoft","True","1558195","https://github.com/Microsoft/vscode-azurefunctions.git"
"Ayu","teabyii","False","1549450","https://github.com/ayu-theme/vscode-ayu"
"Data Workspace","Microsoft","True","1544067","https://github.com/Microsoft/azuredatastudio.git"
"jQuery Code Snippets","Don Jayamanne","False","1539904","N/A"
"Arduino","Microsoft","True","1535880","https://github.com/Microsoft/vscode-arduino.git"
"One Monokai Theme","Joshua Azemoh","False","1527561","https://github.com/azemoh/vscode-one-monokai.git"
"German Language Pack for Visual Studio Code","Microsoft","True","1520955","https://github.com/Microsoft/vscode-loc.git"
"Spring Boot Dashboard","Microsoft","True","1505840","https://github.com/Microsoft/vscode-spring-boot-dashboard.git"
"SQL Database Projects","Microsoft","True","1502241","https://github.com/Microsoft/azuredatastudio.git"
"C/C++ Clang Command Adapter","Yasuaki MITANI","False","1484243","https://github.com/mitaki28/vscode-clang"
"Hex Editor","Microsoft","True","1479650","https://github.com/microsoft/vscode-hexeditor.git"
"Debugger for Unity","Unity Technologies","False","1471993","https://github.com/Unity-Technologies/vscode-unity-debug.git"
"Git Blame","Wade Anderson","False","1464713","https://github.com/Sertion/vscode-gitblame.git"
"Highlight Matching Tag","vincaslt","False","1461538","https://github.com/vincaslt/vscode-highlight-matching-tag"
"Auto Complete Tag","Jun Han","False","1456855","https://github.com/formulahendry/vscode-auto-complete-tag.git"
"SonarLint","SonarSource","True","1453627","https://github.com/SonarSource/sonarlint-vscode.git"
"Prettify JSON","Mohsen Azimi","False","1440253","git@github.com:mohsen1/vscode-prettify-json.git"
"Paste JSON as Code","quicktype","False","1437269","https://github.com/quicktype/quicktype"
"Reactjs code snippets","charalampos karypidis","False","1431726","https://github.com/xabikos/vscode-react"
"Search node_modules","Jason Nutter","False","1410652","https://github.com/jasonnutter/search-node-modules"
"Laravel Snippets","Winnie Lin","False","1403098","https://github.com/onecentlin/laravel5-snippets-vscode.git"
"Thunder Client","Ranga Vadhineni","True","1398852","https://github.com/rangav/thunder-client-support.git"
"Format HTML in PHP","rifi2k","False","1397844","https://github.com/RiFi2k/format-html-in-php"
"Test Adapter Converter","Microsoft","True","1374927","https://github.com/microsoft/vscode-test-adapter-converter.git"
"SQLite","alexcvzz","False","1374826","https://github.com/AlexCovizzi/vscode-sqlite.git"
"VSCode Great Icons","Emmanuel Béziat","False","1372923","https://github.com/EmmanuelBeziat/vscode-great-icons.git"
"Terminal","Jun Han","False","1366851","https://github.com/formulahendry/vscode-terminal.git"
"json","ZainChen","False","1342841","https://github.com/ZainChen/vscode-json"
"Azure Machine Learning","Microsoft","True","1339872","https://github.com/Microsoft/vscode-tools-for-ai.git"
"Java Language Support","George Fraser","False","1339487","https://github.com/georgewfraser/java-language-server.git"
"phpcs","Ioannis Kappas","False","1331484","https://github.com/ikappas/vscode-phpcs.git"
"Beautify css/sass/scss/less","michelemelluso","False","1317926","https://github.com/mike7515/code-beautifier"
"Markdown PDF","yzane","False","1314790","https://github.com/yzane/vscode-markdown-pdf.git"
"Shades of Purple","Ahmad Awais ⚡","True","1314334","https://github.com/ahmadawais/shades-of-purple-vscode.git"
"Better TOML","bungcip","False","1302251","https://github.com/bungcip/better-toml.git"
"CSS Formatter","Martin Aeschlimann","False","1284416","https://github.com/aeschli/vscode-css-formatter.git"
"Spring Boot Extension Pack","Pivotal","False","1280164","https://github.com/spring-projects/sts4.git"
"Error Lens","Alexander","False","1269668","https://github.com/usernamehw/vscode-error-lens.git"
"Jest","Orta","False","1268531","https://github.com/jest-community/vscode-jest.git"
"Microsoft Edge Tools for VS Code","Microsoft","True","1248754","https://github.com/Microsoft/vscode-edge-devtools.git"
"Path Autocomplete","Mihai Vilcu","False","1240196","https://github.com/ionutvmi/path-autocomplete.git"
"PlantUML","jebbs","False","1239909","https://github.com/qjebbs/vscode-plantuml.git"
"vscode-proto3","zxh404","False","1229247","https://github.com/zxh0/vscode-proto3.git"
"SFTP","liximomo","False","1228218","https://github.com/liximomo/vscode-sftp.git"
"Jira and Bitbucket (Atlassian Labs)","Atlassian","False","1216685","https://bitbucket.org/atlassianlabs/atlascode.git"
"Color Picker","anseki","False","1210520","https://github.com/anseki/vscode-color.git"
"IntelliJ IDEA Keybindings","Keisuke Kato","False","1204280","https://github.com/kasecato/vscode-intellij-idea-keybindings.git"
"Makefile Tools","Microsoft","True","1190224","https://github.com/Microsoft/vscode-makefile-tools.git"
"TypeScript Hero","Christoph Bühler","False","1189369","https://gitlab.com/smartive/open-source/christoph/typescript-hero.git"
"Trailing Spaces","Shardul Mahadik","False","1182678","https://github.com/shardulm94/vscode-trailingspaces.git"
"Nx Console","nrwl","False","1169513","https://github.com/nrwl/nx-console.git"
"Azure Machine Learning - Remote","Microsoft","True","1169241","https://github.com/Microsoft/vscode-tools-for-ai.git"
"Azure CLI Tools","Microsoft","True","1155197","https://github.com/Microsoft/vscode-azurecli.git"
"Open in GitHub, Bitbucket, Gitlab, VisualStudio.com !","ziyasal","False","1146531","https://github.com/ziyasal/vscode-open-in-github.git"
"GraphQL: Language Feature Support","GraphQL Foundation","False","1144300","https://github.com/graphql/graphiql.git"
"Discord Presence","Crawl","False","1140799","https://github.com/iCrawl/discord-vscode.git"
"Azure App Service","Microsoft","True","1131677","https://github.com/Microsoft/vscode-azureappservice.git"
"Node.js Modules Intellisense","Zongmin Lei","False","1127436","https://github.com/leizongmin/vscode-node-module-intellisense.git"
"Image preview","Kiss Tamás","False","1116737","https://github.com/kisstkondoros/gutter-preview.git"
"rust-analyzer","The Rust Programming Language ","True","1115820","https://github.com/rust-lang/rust-analyzer.git"
"Laravel Artisan","Ryan Naddy","False","1112798","https://github.com/TheColorRed/vscode-laravel-artisan"
"SynthWave '84","Robb Owen","False","1110767","https://github.com/robb0wen/synthwave-vscode.git"
"MySQL","Jun Han","False","1094612","https://github.com/formulahendry/vscode-mysql.git"
"Palenight Theme","Olaolu Olawuyi","False","1084422","https://github.com/whizkydee/vscode-palenight-theme"
"View In Browser","qinjia","False","1084156","https://github.com/hellopao/view-in-browser.git"
"Salesforce CLI Integration","Salesforce","True","1072881","https://github.com/forcedotcom/salesforcedx-vscode.git"
"HTMLHint","Mike Kaufman","False","1046997","https://github.com/Microsoft/vscode-htmlhint.git"
"Cobalt2 Theme Official","Wes Bos","False","1045792","https://github.com/wesbos/cobalt2-vscode"
"Chinese (Traditional) Language Pack for Visual Studio Code","Microsoft","True","1040417","https://github.com/Microsoft/vscode-loc.git"
"SQL Bindings","Microsoft","True","1039561","https://github.com/Microsoft/azuredatastudio.git"
"Version Lens","pflannery","False","1033723","https://gitlab.com/versionlens/vscode-versionlens.git"
"Apex","Salesforce","True","1029879","https://github.com/forcedotcom/salesforcedx-vscode.git"
"Python Preview","dongli","False","1026766","https://github.com/dongli0x00/python-preview"
"Draw.io Integration","Henning Dieterichs","False","1015639","https://github.com/hediet/vscode-drawio.git"
"Notepad++ keymap","Microsoft","True","1013653","https://github.com/Microsoft/vscode-notepadplusplus-keybindings.git"
"React-Native/React/Redux snippets for es6/es7","EQuimper","False","1012556","https://github.com/EQuimper/VSC-React-Native-React-Redux-Snippets"
"Azure Resource Manager (ARM) Tools","Microsoft","True","998422","https://github.com/Microsoft/vscode-azurearmtools.git"
"PHP Server","brapifra","False","985824","https://github.com/brapifra/vscode-phpserver.git"
"Laravel goto view","codingyu","False","977872","https://github.com/codingyu/laravel-goto-view.git"
"Unity Code Snippets","Kleber Silva","False","975365","https://github.com/kleber-swf/vscode-unity-code-snippets"
"Aura Components","Salesforce","True","975094","https://github.com/forcedotcom/salesforcedx-vscode.git"
"Clang-Format","xaver","False","973463","https://github.com/xaverh/vscode-clang-format-provider"
"Stylelint","Stylelint","True","970030","https://github.com/stylelint/vscode-stylelint.git"
"Visualforce","Salesforce","True","969131","https://github.com/forcedotcom/salesforcedx-vscode.git"
"PHP DocBlocker","Neil Brayfield","False","968691","https://github.com/neild3r/vscode-php-docblocker.git"
"Apex Interactive Debugger","Salesforce","True","957099","https://github.com/forcedotcom/salesforcedx-vscode.git"
"Git Extension Pack","Don Jayamanne","False","956371","https://github.com/DonJayamanne/git-extension-pack"
"SCSS Formatter","Sibiraj","True","954928","https://github.com/sibiraj-s/vscode-scss-formatter.git"
"Angular Essentials (Version 13)","John Papa","True","950653","https://github.com/johnpapa/vscode-angular-essentials.git"
"Dependency Analytics","Red Hat","True","949709","https://github.com/fabric8-analytics/fabric8-analytics-vscode-extension"
"SCSS IntelliSense","mrmlnc","False","946928","https://github.com/mrmlnc/vscode-scss"
"GitHub","KnisterPeter","False","946101","https://github.com/KnisterPeter/vscode-github.git"
"Lightning Web Components","Salesforce","True","942132","https://github.com/forcedotcom/salesforcedx-vscode.git"
"Azure Databases","Microsoft","True","941933","https://github.com/microsoft/vscode-cosmosdb"
"Live HTML Previewer","Harshdeep Gupta","False","937074","https://github.com/HarshdeepGupta/live-html-preview.git"
"Salesforce Extension Pack","Salesforce","True","929137","https://github.com/forcedotcom/salesforcedx-vscode.git"
"Apex Replay Debugger","Salesforce","True","926350","https://github.com/forcedotcom/salesforcedx-vscode.git"
"GitHub Repositories","GitHub","True","925502","https://github.com/microsoft/vscode-remote-repositories-github.git"
"Live Preview","Microsoft","True","907768","https://github.com/microsoft/vscode-livepreview.git"
"Prettier ESLint","Rebecca Vest","False","904226","https://github.com/idahogurl/vs-code-prettier-eslint.git"
"Unity Tools","Tobiah Zarlez","False","901778","https://github.com/TobiahZ/unity-tools.git"
"Atom Keymap","Microsoft","True","899214","https://github.com/Microsoft/vscode-atom-keybindings.git"
"NuGet Package Manager","jmrog","False","896511","https://github.com/jmrog/vscode-nuget-package-manager.git"
"Laravel Extra Intellisense","amir","False","883270","https://github.com/amir9480/vscode-laravel-extra-intellisense.git"
"file-icons","file-icons","False","882350","https://github.com/file-icons/vscode"
"PHP Namespace Resolver","Mehedi Hassan","False","879500","https://github.com/MehediDracula/PHP-Namespace-Resolver.git"
"Git Project Manager","Felipe Caputo","False","878717","https://github.com/felipecaputo/git-project-manager.git"
"C# XML Documentation Comments","Keisuke Kato","False","873565","https://github.com/kasecato/vscode-docomment.git"
"Polacode","P & P","False","872302","https://github.com/octref/polacode.git"
"shell-format","foxundermoon","False","871266","https://github.com/foxundermoon/vs-shell-format.git"
"solidity","Juan Blanco","False","868335","https://github.com/juanfranblanco/vscode-solidity.git"
"CMake Language Support","Jose Torres","False","867636","https://github.com/josetr/cmake-language-support.git"
"Cloudfoundry Manifest YML Support","Pivotal","False","866479","https://github.com/spring-projects/sts4.git"
"Markdown Preview Github Styling","Matt Bierner","True","862551","https://github.com/mjbvz/vscode-github-markdown-preview-style.git"
"AWS Toolkit","Amazon Web Services","False","854121","https://github.com/aws/aws-toolkit-vscode.git"
"change-case","wmaurer","False","850492","https://github.com/wmaurer/vscode-change-case.git"
"Formatting Toggle","tombonnike","False","849450","https://github.com/Tom-Bonnike/vscode-formatting-toggle.git"
"Open In Default Browser","peakchen90","False","847248","https://github.com/peakchen90/vscode-open-in-default-browser.git"
"Azure Storage","Microsoft","True","844402","https://github.com/Microsoft/vscode-azurestorage.git"
"Concourse CI Pipeline Editor","Pivotal","False","843355","https://github.com/spring-projects/sts4.git"
"Python Extended","Taiwo Kareem","False","829085","https://github.com/tushortz/vscode-Python-Extended.git"
"C/C++ Snippets","Harsh","False","817126","https://github.com/one-harsh/vscode-cpp-snippets"
"Kotlin Language","mathiasfrohlich","False","810719","https://github.com/mathiasfrohlich/vscode-kotlin.git"
"JavaScript Debugger (Nightly)","Microsoft","True","802882","https://github.com/Microsoft/vscode-pwa.git"
"Mithril Emmet","FallenMax","False","801472","https://github.com/FallenMax/mithril-emmet.git"
"Babel ES6/ES7","dzannotti","False","799116","https://github.com/dzannotti/vscode-babel/"
"Atom One Light Theme","Mahmoud Ali","False","797546","https://github.com/akamud/vscode-theme-onelight.git"
